timestamp_utc,shortcode,permalink,media_type,is_video,caption,accessibility_caption,likes,comments,location,carousel_items,raw_metadata_file
2024-03-25T08:05:04+00:00,C47gxOst2vX,https://www.instagram.com/p/C47gxOst2vX/,GraphSidecar,False,"On 7th March, the East stars school was visited to distribute stationary items to the under privileged students and to spread awareness about the importance of education.",,37,3,,4,2024-03-25_08-05-04_UTC.json.xz
2025-08-14T13:02:45+00:00,DNVh3CesWJB,https://www.instagram.com/p/DNVh3CesWJB/,GraphSidecar,False,"On the 13th of August, Team Kaflah celebrated Pakistan’s Independence Day by giving back to the earth 🌱. Our plantation drive at Lahore Public School brought together passionate volunteers for a greener Pakistan. Every tree we plant today is an investment in a better tomorrow. 
Azaadi Mubarak🇵🇰💚
#towardshumanity #greenpakistan",,54,16,,9,2025-08-14_13-02-45_UTC.json.xz
2025-08-14T13:07:46+00:00,DNViPFqM55t,https://www.instagram.com/p/DNViPFqM55t/,GraphVideo,True,🌱,,69,22,,0,2025-08-14_13-07-46_UTC.json.xz
2025-10-26T12:09:08+00:00,DQRZwOiEpbc,https://www.instagram.com/p/DQRZwOiEpbc/,GraphSidecar,False,"A Dental Camp was successfully held at Kafalat Ghar Orphanage on Saturday, 18th October. With the help of amazing volunteers and dentists, the children received free dental check-ups, learned about oral hygiene, and went home with dental kits and brighter smiles",,38,2,,7,2025-10-26_12-09-08_UTC.json.xz
2025-10-31T11:14:25+00:00,DQeLWaBDKRj,https://www.instagram.com/p/DQeLWaBDKRj/,GraphVideo,True,,,43,18,,0,2025-10-31_11-14-25_UTC.json.xz
2025-11-10T15:53:18+00:00,DQ4bVS4DDfi,https://www.instagram.com/p/DQ4bVS4DDfi/,GraphImage,False,,,-1,0,,0,2025-11-10_15-53-18_UTC.json.xz
2025-11-10T15:55:51+00:00,DQ4bn9rjKNK,https://www.instagram.com/p/DQ4bn9rjKNK/,GraphImage,False,,,-1,0,,0,2025-11-10_15-55-51_UTC.json.xz
2025-11-10T15:57:24+00:00,DQ4bzQ0DLhw,https://www.instagram.com/p/DQ4bzQ0DLhw/,GraphImage,False,,,-1,0,,0,2025-11-10_15-57-24_UTC.json.xz
2025-11-18T20:00:24+00:00,DRNd5d0DHwL,https://www.instagram.com/p/DRNd5d0DHwL/,GraphVideo,True,"On November 18, a plantation drive was held at GCU by the Women Development Center in collaboration with Kaflah and Alkhidmat, all coming together for a cleaner, greener Pakistan.",,48,27,,0,2025-11-18_20-00-24_UTC.json.xz
2025-11-20T11:57:52+00:00,DRRwVmXDKKS,https://www.instagram.com/p/DRRwVmXDKKS/,GraphSidecar,False,,,32,5,,6,2025-11-20_11-57-52_UTC.json.xz
2025-11-22T13:04:35+00:00,DRXBj_4DEjw,https://www.instagram.com/p/DRXBj_4DEjw/,GraphImage,False,"Volunteer Applications are now open! 

Apply through the link in our bio.

Deadline to apply: 11:59pm - 17th December 2025",,-1,0,,0,2025-11-22_13-04-35_UTC.json.xz
2025-12-24T18:42:01+00:00,DSqBncIDAgV,https://www.instagram.com/p/DSqBncIDAgV/,GraphImage,False,"Through this stationary drive, team Kaflah aims to support young learners by providing essential school supplies and spreading smiles.
Donate now and be a part of this cause.
For any queries, contact: 
Saad Habib
0321 6691149 
Rahima Habib
0306 1174847",,-1,0,,0,2025-12-24_18-42-01_UTC.json.xz
2026-01-12T10:19:29+00:00,DTaDNewDMSy,https://www.instagram.com/p/DTaDNewDMSy/,GraphSidecar,False,"On Jan 8, Team Kaflah held a stationery drive at Kafalat Ghr Orphanage. Essential everyday stationery, colors, and coloring books were shared with love. The children showcased their beautiful artistic skills and creativity. Every smile, sketch, and color told a story of hope and imagination. Moments like these remind us how powerful small acts of kindness can be",,50,19,,5,2026-01-12_10-19-29_UTC.json.xz
2026-01-12T17:02:04+00:00,DTaxPOojFSg,https://www.instagram.com/p/DTaxPOojFSg/,GraphVideo,True,,,44,5,,0,2026-01-12_17-02-04_UTC.json.xz
2026-01-31T11:56:11+00:00,DULJRR-CLrj,https://www.instagram.com/p/DULJRR-CLrj/,GraphVideo,True,"On Wednesday, 28th January 2026, Project Zavia, in collaboration with Kaflah, conducted a book reading and drawing activity at the Alif Laila Library. The session aimed to encourage creativity and foster a love for reading among children. Alongside the activities, books were donated to the library, and at the end of the workshop, packaged books were distributed to the children.",,72,21,,0,2026-01-31_11-56-11_UTC.json.xz
2026-02-01T17:23:31+00:00,DUOToorDBum,https://www.instagram.com/p/DUOToorDBum/,GraphSidecar,False,"On Wednesday, 28th January 2026, Team Kaflah, in collaboration with Project Zavia, organized a book reading and drawing activity at the Alif Laila Library. The session was designed to nurture creativity and instill a love for reading among children. In addition to the interactive activities, books were donated to the library, and packaged books were distributed to the children at the conclusion of the workshop, ensuring they could continue their reading journey beyond the session.",,89,10,,6,2026-02-01_17-23-31_UTC.json.xz
